source,cell,cls,documented,dist_km,N_post_5d,null_mean_N,null_p95_N,p_count,primary_measurable
landers,long_valley,A,True,440.8800119037442,59,14.01440329218107,38.44999999999993,0.025693730729701953,True
landers,coso,A,True,235.4888194814678,101,5.854938271604938,16.0,0.006166495375128468,True
landers,geysers,A,True,766.9891858531885,10,10.800411522633745,18.0,0.6115107913669064,True
landers,yellowstone,A,True,1252.9213806892776,4,1.4238683127572016,6.0,0.10585817060637205,True
landers,salton_brawley,A,False,144.73568385832397,4,2.2397119341563787,8.0,0.19424460431654678,True
landers,lassen,B,True,830.9666570899155,7,0.3559670781893004,2.0,0.0051387461459403904,False
landers,mono_west_nv_mina,B,True,491.60068337954743,3,0.047325102880658436,0.0,0.0010277492291880781,True
landers,little_skull_mtn,B,True,289.59650178787035,11,0.13271604938271606,1.0,0.0010277492291880781,False
landers,cedar_city_ut,B,True,487.15456757852826,34,0.21707818930041153,1.0,0.0010277492291880781,True
landers,smith_valley_nv,C,True,575.9470497771239,2,0.06893004115226338,0.0,0.012332990750256937,False
landers,parkfield,C,False,415.389727986717,1,0.9032921810699589,3.0,0.49640287769784175,True
landers,mendocino,C,False,988.5533007446611,16,10.243827160493828,19.0,0.07708119218910586,True
landers,wasatch_slc,C,False,825.9673000286367,0,0.12037037037037036,1.0,1.0,True
hectormine,long_valley,A,True,411.2111549838919,28,25.720164609053498,99.89999999999986,0.16238437821171633,True
hectormine,coso,A,True,209.0321303046161,7,16.55246913580247,49.899999999999864,0.4552929085303186,True
hectormine,geysers,A,True,748.7517795211193,8,11.889917695473251,20.0,0.8314491264131552,True
hectormine,yellowstone,A,True,1206.5966212968665,2,2.5236625514403292,9.0,0.41109969167523125,True
hectormine,salton_brawley,A,False,177.30480778954595,112,3.251028806584362,12.0,0.0010277492291880781,True
hectormine,lassen,B,True,802.0084321978518,0,0.1419753086419753,1.0,1.0,True
hectormine,mono_west_nv_mina,B,True,455.2882114840334,0,0.2839506172839506,2.0,1.0,False
hectormine,little_skull_mtn,B,True,245.3033360668494,0,0.17078189300411523,1.0,1.0,False
hectormine,cedar_city_ut,B,True,443.3231201842086,0,0.2808641975308642,1.0,1.0,True
hectormine,smith_valley_nv,C,True,544.4770124698647,0,0.5668724279835391,2.0,1.0,True
hectormine,parkfield,C,False,410.5279859340007,1,0.9732510288065843,3.0,0.5529290853031861,True
hectormine,mendocino,C,False,967.6759817308465,2,2.7829218106995883,7.0,0.6783144912641316,True
hectormine,wasatch_slc,C,False,780.1682340682493,0,0.6728395061728395,4.0,1.0,True
hectormine,san_jacinto,C,False,131.91495734174126,2,3.8930041152263373,9.0,0.7862281603288798,True
ridgecrest,long_valley,A,True,237.06747048801356,14,5.9753086419753085,21.899999999999864,0.09763617677286741,True
ridgecrest,geysers,A,True,572.3907287667753,6,9.981481481481481,18.0,0.8509763617677287,True
ridgecrest,yellowstone,A,True,1138.79496462784,2,3.9156378600823047,15.0,0.48201438848920863,True
ridgecrest,salton_brawley,A,False,348.82259225498905,3,9.70679012345679,17.0,0.40596094552929085,True
ridgecrest,lassen,B,True,626.8532763949203,0,0.26337448559670784,2.0,1.0,True
ridgecrest,mono_west_nv_mina,B,True,296.8487933724162,2,0.49382716049382713,2.0,0.08530318602261049,True
ridgecrest,little_skull_mtn,B,True,167.2405432769011,1,0.147119341563786,1.0,0.10894141829393628,True
ridgecrest,cedar_city_ut,B,True,452.8752675808203,1,0.47016460905349794,2.0,0.26104830421377184,True
ridgecrest,smith_valley_nv,C,True,372.851983791387,0,0.15946502057613168,1.0,1.0,True
ridgecrest,parkfield,C,False,261.3958444456314,1,0.7592592592592593,3.0,0.49023638232271327,True
ridgecrest,mendocino,C,False,789.9403681005164,8,2.9002057613168724,6.0,0.02672147995889003,True
ridgecrest,wasatch_slc,C,False,740.7980867653287,0,1.1347736625514404,2.0,1.0,True
ridgecrest,san_jacinto,C,False,271.95000593318883,2,4.811728395061729,11.0,0.7872559095580678,True
denali,long_valley,A,True,3452.2461708034125,16,4.772633744855967,11.0,0.015416238437821172,True
denali,coso,A,True,3657.901445017407,3,10.710905349794238,25.0,0.6289825282631039,True
denali,geysers,A,True,3194.9534940979197,21,12.955761316872428,22.449999999999932,0.09044193216855087,True
denali,yellowstone,A,True,3109.551769115477,73,1.4825102880658436,6.0,0.0010277492291880781,True
denali,salton_brawley,A,False,4034.1263006289187,1,5.42798353909465,16.0,0.7954779033915724,True
denali,lassen,B,True,3068.807256316969,1,0.2088477366255144,1.0,0.14799588900308325,False
denali,mono_west_nv_mina,B,True,3402.435969972006,1,0.5771604938271605,2.0,0.31654676258992803,True
denali,little_skull_mtn,B,True,3634.879845139867,0,0.21193415637860083,1.0,1.0,True
denali,cedar_city_ut,B,True,3674.26910382603,1,0.2191358024691358,1.0,0.13360739979445016,True
denali,smith_valley_nv,C,True,3315.994211454072,1,0.6100823045267489,2.0,0.2261048304213772,True
denali,parkfield,C,False,3572.553855061882,0,2.9722222222222223,8.0,1.0,True
denali,mendocino,C,False,2974.6001432129274,6,2.3209876543209877,6.0,0.07708119218910586,True
denali,wasatch_slc,C,False,3427.3634529542646,2,0.3425925925925926,2.0,0.07399794450154162,True
denali,san_jacinto,C,False,3959.8268260181962,4,3.9166666666666665,9.0,0.3761562178828366,True
